,0
290,NA1_4290112008
291,NA1_4290491407
292,NA1_4297731761
293,NA1_4293546854
294,NA1_4291781034
295,NA1_4296946649
296,NA1_4294374641
297,NA1_4290257236
298,NA1_4292197888
299,NA1_4298258961
300,NA1_4297082014
301,NA1_4284451144
302,NA1_4296177892
303,NA1_4296183794
304,NA1_4293408631
305,NA1_4289686448
306,NA1_4298187147
307,NA1_4294151693
308,NA1_4287543556
309,NA1_4285892599
310,NA1_4298270210
311,NA1_4288990379
312,NA1_4295774784
313,NA1_4294083215
314,NA1_4298126437
315,NA1_4298237416
316,NA1_4294270091
317,NA1_4298288582
318,NA1_4295113989
319,NA1_4295502797
320,NA1_4297588100
321,NA1_4290196322
322,NA1_4295505131
323,NA1_4296376130
324,NA1_4295383343
325,NA1_4285160071
326,NA1_4295798274
327,NA1_4298360341
328,NA1_4297548640
329,NA1_4287088533
330,NA1_4289324365
331,NA1_4293506771
332,NA1_4288921234
333,NA1_4293312337
334,NA1_4294739244
335,NA1_4291268582
336,NA1_4296355787
337,NA1_4288995600
338,NA1_4298073486
339,NA1_4295656673
340,NA1_4294188289
341,NA1_4297479552
342,NA1_4288252343
343,NA1_4293560246
344,NA1_4287147794
345,NA1_4294139381
346,NA1_4293154016
347,NA1_4294232597
348,NA1_4296654483
349,NA1_4294392499
350,NA1_4288239273
351,NA1_4290249113
352,NA1_4297209692
353,NA1_4298233140
354,NA1_4292250773
355,NA1_4297735546
356,NA1_4293893416
357,NA1_4293405448
358,NA1_4296306401
359,NA1_4298285555
360,NA1_4298196036
361,NA1_4293822059
362,NA1_4297015748
363,NA1_4296474378
364,NA1_4297484373
365,NA1_4292364418
366,NA1_4292102439
367,NA1_4290485316
368,NA1_4287927815
369,NA1_4292645864
370,NA1_4294388139
371,NA1_4296895962
372,NA1_4296334930
373,NA1_4295347910
374,NA1_4287871952
375,NA1_4297019559
376,NA1_4292638089
377,NA1_4291977718
378,NA1_4292116330
379,NA1_4289025606
380,NA1_4293782931
381,NA1_4297091251
382,NA1_4291916925
383,NA1_4291404907
384,NA1_4296855312
385,NA1_4287172541
386,NA1_4288190249
387,NA1_4294139994
388,NA1_4295937966
389,NA1_4293249589
390,NA1_4288009740
391,NA1_4295849517
392,NA1_4294538224
393,NA1_4298244786
394,NA1_4291045910
395,NA1_4290456322
396,NA1_4290662326
397,NA1_4296859891
398,NA1_4292039988
399,NA1_4292050439
400,NA1_4295506377
401,NA1_4290844649
402,NA1_4292680522
403,NA1_4296001657
404,NA1_4297621550
405,NA1_4291891981
406,NA1_4286100450
407,NA1_4290628744
408,NA1_4296548135
409,NA1_4284137843
410,NA1_4293448400
411,NA1_4295878323
412,NA1_4291489162
413,NA1_4282012669
414,NA1_4288471966
415,NA1_4290651616
416,NA1_4291688078
417,NA1_4297205706
418,NA1_4297921829
419,NA1_4298138037
420,NA1_4298046414
421,NA1_4296919190
422,NA1_4292926216
423,NA1_4295883758
424,NA1_4287597515
425,NA1_4298320211
426,NA1_4292710166
427,NA1_4293290897
428,NA1_4290990579
429,NA1_4298232843
430,NA1_4296919319
431,NA1_4291293926
432,NA1_4293012453
433,NA1_4298170359
434,NA1_4293541948
435,NA1_4286861167
436,NA1_4293363760
